author,detail_url,isbn,pages,price,pub_date,publisher,quote,rating,rating_num,series,title
金庸,https://book.douban.com/subject/1070851/,9787108012692, 1335,47.00,1999-04,生活·读书·新知三联书店,不识张郎是张郎,8.7,66092人,,倚天屠龙记
罗贯中,https://book.douban.com/subject/1008357/,9787020008742, 1314,50.60元,1997-1,人民文学出版社,替天行道,8.7,85267人,,水浒传（全二册）
[加拿大] 阿利斯泰尔·麦克劳德 / 陈以侃,https://book.douban.com/subject/26357614/,9787532156825, 163,CNY 20.00,2015-6-1,上海文艺出版社,男女之间、父母与子女之间紧密的纽带和难以逾越的鸿沟,9.0,22821人,,海风中失落的血色馈赠
项飙,https://book.douban.com/subject/30116399/,9787807681885, 560,68.00元,2018-3,生活·读书·新知三联书店,None,9.4,11915人,,跨越边界的社区（修订版）
顾城,https://book.douban.com/subject/1033825/,9787020025862, 403,20.00,1998-12,人民文学出版社,None,8.8,27931人,,顾城的诗
[意] 卡洛·罗韦利 / 杨光,https://book.douban.com/subject/33424487/,9787571001636, 183,56.00元,2019-6,湖南科学技术出版社,None,8.9,24776人,,时间的秩序
[美] 安迪·威尔 / 陈灼,https://book.douban.com/subject/26586492/,9787544757225, 428,38.00,2015-10,译林出版社,None,8.9,22509人,,火星救援
[日] 东野圭吾 / 李盈春,https://book.douban.com/subject/25862578/,9787544270878, 291,39.50元,2014-5,南海出版公司,None,8.5,781070人,,解忧杂货店
[英] 斯蒂芬·韦斯塔比 / 高天羽 / 张思宇 审读,https://book.douban.com/subject/30277179/,9787559810779, 344,56,2022-4,广西师范大学出版社,None,9.1,14529人,,打开一颗心
[奥] 斯蒂芬·茨威格,https://book.douban.com/subject/2158684/,9787532741601, 387,23.00元,2007-7,上海译文出版社,纳粹法西斯对人心灵的折磨及摧残,9.1,14484人,,象棋的故事
八月长安,https://book.douban.com/subject/4166819/,9787510407109, 533,39.80元,2009-12,新世界出版社,原作名切题,8.7,52172人,,你好，旧时光（上 下）
[英] 道格拉斯·亚当斯,https://book.douban.com/subject/1394364/,9787536457577, 191,16.00元,2005-6,四川科学技术出版社,一场穿越银河的冒险,8.8,24091人,,银河系漫游指南
[英] 凯特·柯克帕特里克 / 刘海平,https://book.douban.com/subject/35317169/,9787521723427, 530,78.00元,2021-3,中信出版社,None,9.0,20799人,,成为波伏瓦
